127.0.0.1 - - [21/Feb/2019:09:25:34 +0700] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:25:49 +0700] "GET /PizzaOrderSystem/Orderlist.jsp HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:25:49 +0700] "GET /PizzaOrderSystem/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:25:49 +0700] "GET /PizzaOrderSystem/css/style.css HTTP/1.1" 200 11443
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:25:51 +0700] "GET /PizzaOrderSystem/fonts/dynalight-regular-webfont.eot? HTTP/1.1" 200 54352
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:25:51 +0700] "GET /PizzaOrderSystem/images/bg-body.jpg HTTP/1.1" 200 401254
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:25:51 +0700] "GET /PizzaOrderSystem/images/schedule.gif HTTP/1.1" 200 15657
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:25:51 +0700] "GET /PizzaOrderSystem/images/icons.gif HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:25:51 +0700] "GET /PizzaOrderSystem/images/logo_1.png HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:25:51 +0700] "GET /PizzaOrderSystem/images/bg-navigation.gif HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:25:51 +0700] "GET /PizzaOrderSystem/images/braces-left.gif HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:25:51 +0700] "GET /PizzaOrderSystem/images/braces-right.gif HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:26:05 +0700] "GET /PizzaOrderSystem/Home.jsp HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:26:05 +0700] "GET /PizzaOrderSystem/images/breakfast-buffet.gif HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [21/Feb/2019:09:26:05 +0700] "GET /PizzaOrderSystem/images/menu1.jpg HTTP/1.1" 200 78366
